"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A request for a resource that does not exist is answered with 404, not 200.","2012","missingResourceReturnsNotFound","SauceDemo API","2026-09-25","passed","2026-09-25","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","missingResourceReturnsNotFound"
"Choosing Price (low to high) orders the catalogue by ascending price.","1195","productsCanBeSortedByPriceAscending","SauceDemo regression","2026-09-25","passed","2026-09-25","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","productsCanBeSortedByPriceAscending"
"The locked-out account is refused even with the correct password.","1255","lockedOutUserCannotSignIn","SauceDemo regression","2026-09-25","passed","2026-09-25","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","lockedOutUserCannotSignIn"
"The details page shows the same name, description and price as the listing.","1326","productDetailsMatchTheListing","SauceDemo regression","2026-09-25","passed","2026-09-25","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","productDetailsMatchTheListing"
"Removing a product returns its button to Add to cart and clears the badge.","1010","removingAProductClearsTheBadge","SauceDemo regression","2026-09-25","passed","2026-09-25","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","removingAProductClearsTheBadge"
"After an order, Back Home returns to a catalogue with an empty cart.","924","catalogueIsResetAfterAnOrder","SauceDemo regression","2026-09-25","passed","2026-09-25","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","catalogueIsResetAfterAnOrder"
"Adding from the details page updates the cart, and the state survives navigating back to the listing.","988","addingFromTheDetailsPagePersists","SauceDemo regression","2026-09-25","passed","2026-09-25","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","addingFromTheDetailsPagePersists"
"Every invalid combination is refused with a message that explains why.","1092","invalidCredentialsAreRejected","SauceDemo regression","2026-09-25","passed","2026-09-25","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","invalidCredentialsAreRejected"
"Every invalid combination is refused with a message that explains why.","777","invalidCredentialsAreRejected","SauceDemo regression","2026-09-25","passed","2026-09-25","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","invalidCredentialsAreRejected"
"Each required field on checkout step one is enforced with its own message.","574","incompleteDetailsAreRejected","SauceDemo regression","2026-09-25","passed","2026-09-25","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","incompleteDetailsAreRejected"
"The displayed total is the item total plus the tax line - the arithmetic a customer would check on the invoice.","643","totalIsItemTotalPlusTax","SauceDemo regression","2026-09-25","passed","2026-09-25","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","totalIsItemTotalPlusTax"
"Choosing Price (high to low) orders the catalogue by descending price.","1085","productsCanBeSortedByPriceDescending","SauceDemo regression","2026-09-25","passed","2026-09-25","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","productsCanBeSortedByPriceDescending"
"The standard account signs in and lands on the product list.","1204","standardUserCanSignIn","SauceDemo regression","2026-09-25","passed","2026-09-25","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","standardUserCanSignIn"
"Each required field on checkout step one is enforced with its own message.","592","incompleteDetailsAreRejected","SauceDemo regression","2026-09-25","passed","2026-09-25","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","incompleteDetailsAreRejected"
"Each required field on checkout step one is enforced with its own message.","632","incompleteDetailsAreRejected","SauceDemo regression","2026-09-25","passed","2026-09-25","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","incompleteDetailsAreRejected"
"A read stays inside a coarse response-time budget - a cheap early warning that something has slowed down.","128","readStaysWithinTheResponseTimeBudget","SauceDemo API","2026-09-25","passed","2026-09-25","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","readStaysWithinTheResponseTimeBudget"
"Continue shopping returns to the listing without discarding the cart.","1798","continueShoppingKeepsTheCart","SauceDemo regression","2026-09-25","passed","2026-09-25","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","continueShoppingKeepsTheCart"
"A known post is returned with the expected fields and identifier.","604","singlePostIsReturnedWithTheExpectedShape","SauceDemo API","2026-09-25","passed","2026-09-25","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","singlePostIsReturnedWithTheExpectedShape"
"Every invalid combination is refused with a message that explains why.","733","invalidCredentialsAreRejected","SauceDemo regression","2026-09-25","passed","2026-09-25","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","invalidCredentialsAreRejected"
"A POST echoes the submitted body back with a new identifier and 201 Created.","2897","postCreatesAResource","SauceDemo API","2026-09-25","passed","2026-09-25","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","postCreatesAResource"
"Any product added from the listing appears in the cart with quantity one.","1057","addedProductAppearsInTheCart","SauceDemo regression","2026-09-25","passed","2026-09-25","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","addedProductAppearsInTheCart"
"Cancelling step one returns to the cart with the products intact.","638","cancellingTheFormReturnsToTheCart","SauceDemo regression","2026-09-25","passed","2026-09-25","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","cancellingTheFormReturnsToTheCart"
"Requesting the inventory URL directly, with no session, is refused rather than served - a basic broken-access-control check.","963","inventoryCannotBeReachedWithoutSigningIn","SauceDemo regression","2026-09-25","passed","2026-09-25","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","inventoryCannotBeReachedWithoutSigningIn"
"Reset App State from the burger menu empties the cart.","1557","resetAppStateEmptiesTheCart","SauceDemo regression","2026-09-25","passed","2026-09-25","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","resetAppStateEmptiesTheCart"
"The summary lists exactly the products in the cart and its item total equals the sum of their prices.","837","orderSummaryMatchesTheCart","SauceDemo regression","2026-09-25","passed","2026-09-25","com.ore.saucedemo.tests.CheckoutTests","UI regression","com.ore.saucedemo.tests.CheckoutTests","orderSummaryMatchesTheCart"
"The users collection is non-empty and every entry carries an email address.","93","usersCollectionIsWellFormed","SauceDemo API","2026-09-25","passed","2026-09-25","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","usersCollectionIsWellFormed"
"The badge counts every product added, and the cart lists them all.","1615","badgeCountsEveryAddedProduct","SauceDemo regression","2026-09-25","passed","2026-09-25","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","badgeCountsEveryAddedProduct"
"Adding a product flips its button to Remove and increments the cart badge.","834","addingAProductUpdatesButtonAndBadge","SauceDemo regression","2026-09-25","passed","2026-09-25","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","addingAProductUpdatesButtonAndBadge"
"Signing out returns the user to the login screen.","1154","userCanSignOut","SauceDemo regression","2026-09-25","passed","2026-09-25","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","userCanSignOut"
"Any product added from the listing appears in the cart with quantity one.","1505","addedProductAppearsInTheCart","SauceDemo regression","2026-09-25","passed","2026-09-25","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","addedProductAppearsInTheCart"
"Every invalid combination is refused with a message that explains why.","681","invalidCredentialsAreRejected","SauceDemo regression","2026-09-25","passed","2026-09-25","com.ore.saucedemo.tests.LoginTests","UI regression","com.ore.saucedemo.tests.LoginTests","invalidCredentialsAreRejected"
"Any product added from the listing appears in the cart with quantity one.","1332","addedProductAppearsInTheCart","SauceDemo regression","2026-09-25","passed","2026-09-25","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","addedProductAppearsInTheCart"
"Name A-Z is the default ordering when the page first loads.","1359","productsAreSortedByNameByDefault","SauceDemo regression","2026-09-25","passed","2026-09-25","com.ore.saucedemo.tests.InventoryTests","UI regression","com.ore.saucedemo.tests.InventoryTests","productsAreSortedByNameByDefault"
"Nested resources are reachable and belong to their parent.","2872","postsForAUserAllBelongToThatUser","SauceDemo API","2026-09-25","passed","2026-09-25","com.ore.saucedemo.api.JsonPlaceholderApiTests","API","com.ore.saucedemo.api.JsonPlaceholderApiTests","postsForAUserAllBelongToThatUser"
"Removing a line from the cart page updates both the list and the badge.","1735","removingFromTheCartUpdatesTheBadge","SauceDemo regression","2026-09-25","passed","2026-09-25","com.ore.saucedemo.tests.CartTests","UI regression","com.ore.saucedemo.tests.CartTests","removingFromTheCartUpdatesTheBadge"
